Antibody;Ab state;PrEST;Multi-targeting;Gene;Gene desc;ENSG;Uniprot;Protein class;Single cell type Enriched/Enhanced Tissue
HPA000397;1000:Published;HPRR231491;0;SYN1;synapsin I;ENSG00000008056;P17600;"Cytoskeleton related proteins;Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Monocytes,Excitatory neurons,Inhibitory neurons,Horizontal cells,Bipolar cells
HPA001079;1000:Published;HPRR221022;0;NPTXR;neuronal pentraxin receptor;ENSG00000221890;O95502;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Inhibitory neurons,Excitatory neurons,Oligodendrocyte precursor cells,Cardiomyocytes
HPA001397;1000:Published;HPRR260369;0;CNTN2;contactin 2;ENSG00000184144;Q02246;"Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Potential drug targets;Predicted intracellular proteins;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Transporters";Oligodendrocytes
HPA001462;1000:Published;HPRR260351;0;APP;amyloid beta precursor protein;ENSG00000142192;P05067;"Disease related genes;FDA approved drug targets;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Plasma proteins by Leigh Anderson;Predicted intracellular proteins;Predicted membrane proteins;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Transporters";Oligodendrocytes
HPA002475;1000:Published;HPRR370207;0;RPH3A;rabphilin 3A;ENSG00000089169;Q9Y2J0;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Inhibitory neurons,Excitatory neurons,Horizontal cells,Monocytes,Bipolar cells
HPA002981;1000:Published;HPRR260365;0;CADM3;cell adhesion molecule 3;ENSG00000162706;Q8N126;"Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Bipolar cells,Schwann cells,Melanocytes,Horizontal cells,Inhibitory neurons,Excitatory neurons,Muller glia cells
HPA004011;1000:Published;HPRR620048;0;MT3;metallothionein 3;ENSG00000087250;P25713;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins by Leigh Anderson;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Muller glia cells,Astrocytes,Schwann cells
HPA005464;1000:Published;HPRR1140015;0;FMNL2;formin like 2;ENSG00000157827;Q96PY5;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Oligodendrocytes,Astrocytes,Excitatory neurons,Oligodendrocyte precursor cells,Inhibitory neurons
HPA006303;1000:Published;HPRR680091;0;MYT1;myelin transcription factor 1;ENSG00000196132;Q01538;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Kim et al 2014);Transcription factors;Transcription factors predicted";Oligodendrocyte precursor cells,Cone photoreceptor cells,Bipolar cells,Rod photoreceptor cells,Horizontal cells
HPA007656;1000:Published;HPRR1840149;0;CAMKV;CaM kinase like vesicle associated;ENSG00000164076;Q8NCB2;"Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Horizontal cells,Excitatory neurons,Inhibitory neurons,Late spermatids
